chan_id,num_values,num_true_anoms,anomaly_sequences1,anomaly_sequences2,anomaly_sequences3,anomaly_sequences4,anomaly_sequences5,anomaly_sequences6
P-1,8505,3,2149,2349,4536,4844,3539,3779
S-1,7331,1,5300,5747,,,,
E-1,8516,2,5000,5030,5610,6086,,
E-2,8532,1,5598,6995,,,,
E-3,8307,1,5094,8306,,,,
E-4,8354,1,5450,8261,,,,
E-5,8294,1,5600,5920,,,,
E-6,8300,1,5610,5675,,,,
E-7,8310,1,5394,5674,,,,
E-8,8532,1,5400,6022,,,,
E-9,8302,1,5550,5900,,,,
E-10,8505,2,5000,5050,5601,5871,,
E-11,8514,2,5000,5050,5614,5857,,
E-12,8512,2,5610,6141,5000,5050,,
E-13,8640,3,5309,5410,5600,5640,6449,6569
A-1,8640,1,4690,4774,,,,
D-1,8509,1,5250,8508,,,,
P-2,8209,1,5350,6575,,,,
P-3,8493,1,5401,6736,,,,
D-2,8595,1,4319,8536,,,,
D-3,8640,1,5225,8500,,,,
D-4,8473,1,5225,8472,,,,
A-2,7914,1,4450,4560,,,,
A-3,8205,1,4575,4760,,,,
A-4,8080,1,4550,4660,,,,
G-1,8469,1,4770,4890,,,,
G-2,7361,1,4030,4070,,,,
D-5,7628,1,4800,4850,,,,
D-6,7884,1,4870,4950,,,,
D-7,7642,1,4940,7641,,,,
F-1,8584,1,5392,5492,,,,
P-4,7783,3,950,1080,2150,2350,4770,4880
G-3,7907,1,4200,4250,,,,
T-1,8612,2,2399,3898,6550,6585,,
T-2,8625,1,6840,8624,,,,
D-8,7874,1,4370,4420,,,,
D-9,7406,1,6250,7405,,,,
F-2,8626,1,5669,8625,,,,
G-4,7632,1,4690,4720,,,,
T-3,8579,2,2098,2180,5200,5300,,
D-11,7431,1,4270,4330,,,,
D-12,7918,1,5178,7917,,,,
B-1,8044,1,5060,5130,,,,
G-6,8640,1,5600,5700,,,,
G-7,8029,3,3650,3750,5050,5100,7560,7675
P-7,8071,1,4950,6600,,,,
R-1,7244,1,4510,4590,,,,
A-5,4693,1,2750,2800,,,,
A-6,4453,1,1890,1930,,,,
A-7,8631,1,6200,8600,,,,
D-13,7663,1,5070,5230,,,,
P-2,8209,1,5300,6420,,,,
A-8,8375,1,4569,8374,,,,
A-9,8434,1,4569,8433,,,,
F-3,8376,1,5600,5640,,,,
M-6,2049,1,1850,2030,,,,
M-1,2277,1,1110,2250,,,,
M-2,2277,1,1110,2250,,,,
S-2,1827,1,900,910,,,,
P-10,6100,1,4590,4720,,,,
T-4,2217,1,1172,1240,,,,
T-5,2218,1,1200,1225,,,,
F-7,5054,3,1250,1450,2670,2790,3325,3425
M-3,2127,1,1250,1500,,,,
M-4,2038,1,1250,1500,,,,
M-5,2303,1,1250,1550,,,,
P-15,2856,1,1390,1410,,,,
C-1,2264,2,550,750,2100,2210,,
C-2,2051,2,290,390,1540,1575,,
T-12,2430,1,630,750,,,,
T-13,2430,2,690,790,1900,2050,,
F-4,3422,1,2700,2770,,,,
F-5,3922,1,3550,3700,,,,
D-14,2625,2,1630,1650,1800,2000,,
T-9,1096,2,780,810,890,970,,
P-14,6100,1,4575,4755,,,,
T-8,1519,2,870,930,1330,1370,,
P-11,3535,2,1778,1898,1238,1344,,
D-15,2158,1,1500,2140,,,,
D-16,2191,1,600,1250,,,,
M-7,2156,1,940,1040,,,,
F-8,2487,1,1950,2486,,,,
